Name,NKalone_1,NKalone_2,NKalone_3,NKIL2_1,NKIL2_2,NKIL2_3,NKINB16_1,NKINB16_2,NKINB16_3,NKK562_1,NKK562_2,NKK562_3
C20orf202,9,3,18,0,8,0,5,19,9,8,15,18
C20orf203,15,8,18,6,11,9,2,13,11,36,35,39
C20orf24,202,138,148,205,230,210,190,342,280,205,405,829
C20orf27,224,117,156,190,198,151,105,197,136,264,369,697
C20orf62,3,0,2,0,6,0,1,4,0,0,0,0
C20orf78,0,0,0,0,0,0,0,0,0,0,0,0
C20orf85,0,0,0,0,0,0,0,0,0,0,0,0
C20orf96,87,56,66,48,40,28,74,100,68,160,221,261
C21orf140,0,0,0,0,0,0,0,0,0,0,0,0
C21orf2,762,282,871,571,580,581,377,986,842,153,294,411
C21orf33,81,54,92,53,57,23,51,46,37,62,96,138
C21orf58,209,68,62,92,69,43,162,137,72,431,692,957
C21orf59,784,406,822,585,929,659,415,679,507,1310,1752,2265
C21orf62,0,0,0,0,0,0,0,0,0,0,0,0
C21orf62-AS1,0,0,0,0,0,0,0,1,0,0,1,0
C21orf91,1733,1268,2118,1290,1726,1182,1432,1080,903,822,773,734
C21orf91-OT1,11,3,11,7,20,20,4,12,10,5,2,3
C22orf15,2,1,0,0,0,0,1,1,0,0,0,1
C22orf23,7,3,4,0,0,0,5,1,1,7,12,19
C22orf24,1,7,0,0,7,1,3,2,4,2,0,2
C22orf29,765,371,636,413,746,640,391,1036,619,2825,5760,8520
C22orf31,0,0,0,0,0,0,0,0,0,0,0,1
C22orf34,240,127,240,191,200,116,100,229,166,132,248,221
C22orf39,885,579,715,498,895,440,573,1157,622,1279,1954,2597
C22orf42,0,0,0,0,0,0,0,0,0,0,0,0
C22orf46,977,551,737,535,478,271,548,459,444,664,657,773
C2CD2,399,306,211,199,232,173,291,395,247,398,430,529
C2CD2L,711,445,842,463,528,542,418,910,643,838,1317,2034
C2CD3,2199,1117,1821,1410,1365,1294,1624,1938,1415,725,605,870
C2CD4A,2,0,0,1,0,0,1,1,0,1,1,0
C2CD4B,0,0,0,0,0,0,1,1,0,1,0,0
C2CD4C,0,0,0,3,0,0,2,0,0,1,1,1
C2CD4D,9,2,4,5,0,0,8,0,1,1,3,2
C2CD5,2302,1789,2470,1206,1963,1113,1632,1418,1014,855,621,513
C2orf15,59,23,83,23,39,2,19,50,36,7,5,5
C2orf16,1,0,0,0,0,0,0,0,1,2,8,12
C2orf27A,0,0,0,0,2,0,0,2,1,0,0,0
C2orf27B,0,0,0,0,0,0,0,0,0,1,0,0
C2orf40,2,0,0,2,0,0,0,0,1,0,0,0
C2orf42,777,585,837,336,672,512,448,444,495,210,153,256
C2orf44,627,419,499,456,511,537,240,386,323,779,757,1111
C2orf47,200,95,133,143,197,151,125,233,148,196,336,439
C2orf48,24,17,50,15,5,17,38,9,11,149,278,355
C2orf49,1118,661,1233,665,1152,679,628,1310,846,1015,951,1154
C2orf50,2,0,0,1,3,0,0,2,1,0,0,3
C2orf54,0,0,0,0,0,0,0,0,0,0,0,2
C2orf57,0,0,0,0,0,0,0,0,0,1,0,0
C2orf61,6,5,4,2,0,0,1,1,4,1,13,22
C2orf66,3,2,3,1,11,15,3,1,0,1,0,0
C2orf68,2892,1478,2081,1293,1478,1174,1349,1698,1337,965,1023,1324
C2orf69,497,352,469,374,396,180,428,565,273,497,714,590
C2orf70,0,0,0,0,0,0,0,0,0,0,0,0
C2orf71,0,0,0,0,0,0,0,0,1,0,0,1
C2orf72,10,3,0,7,0,0,2,0,0,1,0,0
C2orf73,0,0,0,0,0,0,0,0,0,1,0,0
C2orf74,355,206,378,180,163,71,227,153,159,66,17,17
C2orf76,182,111,123,128,194,38,128,165,103,73,67,72
C2orf78,0,0,0,0,8,0,0,0,0,7,19,26
C2orf80,0,0,0,0,0,0,0,0,0,0,0,0
C2orf81,96,19,38,28,37,62,21,57,32,12,5,9
C2orf82,2,3,4,0,0,0,1,7,2,4,9,11
C2orf83,0,0,0,0,0,0,0,0,0,0,0,0
C2orf88,6,3,0,0,0,0,1,4,0,773,885,788
C2orf91,0,0,0,0,0,0,0,0,0,0,0,0
C3,466,3042,27,239,310,201,166,50,68,328,172,325
C3AR1,627,521,628,394,531,429,219,381,257,102,141,237
C3orf14,22,21,10,41,16,11,12,5,10,1,2,0
C3orf17,1806,1117,1567,1439,2060,1097,1223,2037,1294,902,1179,1357
C3orf18,362,154,269,975,401,282,203,155,179,45,60,61
C3orf20,46,27,25,27,20,0,12,38,16,18,34,36
C3orf22,0,0,0,1,0,0,0,0,0,0,0,0
C3orf30,0,0,0,0,0,0,0,0,0,0,0,0
C3orf33,106,43,82,68,75,37,64,175,105,170,211,172
C3orf35,96,23,65,31,20,27,32,93,60,26,56,46
C3orf36,0,0,0,0,0,0,0,0,0,0,0,0
C3orf38,793,671,926,603,1138,330,590,1153,585,590,668,796
C3orf49,0,0,0,0,0,0,0,0,0,0,0,0
C3orf52,1,0,1,3,11,26,2,2,1,127,137,231
C3orf56,0,0,0,0,0,0,0,0,0,0,0,0
C3orf58,593,619,994,443,788,413,564,464,280,548,1508,1099
C3orf62,758,240,683,520,637,589,259,314,271,207,315,486
C3orf67,3,0,0,2,11,0,1,1,0,67,67,63
C3orf67-AS1,0,0,0,0,0,0,0,0,0,0,0,0
C3orf70,0,12,9,3,7,0,0,3,5,0,1,0
C3orf79,0,1,0,0,0,0,0,0,0,0,0,0
C3orf80,0,4,0,2,0,0,0,0,1,4,11,18
C3orf84,0,0,0,0,0,0,0,0,0,0,0,0
C3P1,0,0,0,1,0,2,0,0,0,0,0,0
C4A,0,0,0,0,0,0,0,0,0,0,0,0
C4B,0,0,0,0,0,0,0,0,0,0,0,0
C4B_2,0,0,0,0,0,0,0,0,0,0,0,0
C4BPA,0,0,0,0,0,0,0,0,0,0,3,0
C4BPB,2,0,0,1,0,0,1,1,0,2,3,0
C4orf17,0,0,0,0,0,0,0,0,0,0,0,1
C4orf19,0,2,1,0,0,0,0,1,0,0,1,1
C4orf22,0,0,3,0,0,0,0,0,0,4,2,5
C4orf26,1,3,7,1,5,14,2,0,2,4,7,5
C4orf27,204,131,205,296,263,151,190,125,94,519,826,792
C4orf29,866,444,694,454,573,369,467,658,369,407,498,538
C4orf3,3860,2589,2571,3384,3759,1046,2486,1659,1060,1570,1278,1270
C4orf32,103,94,82,111,386,21,133,109,44,542,757,624
C4orf33,249,190,157,216,170,56,231,310,153,431,620,592
C4orf36,10,9,3,3,8,0,5,7,1,9,6,7
C4orf45,0,0,1,0,0,0,0,0,0,1,1,0
C4orf46,203,136,289,302,323,211,313,413,233,576,755,853
C4orf47,102,12,85,44,74,82,1,15,13,10,10,6
C4orf48,11,3,3,12,0,0,16,7,7,43,66,187
C4orf51,0,0,0,0,0,0,0,0,0,0,0,0
C5,65,40,20,40,39,24,41,44,18,42,67,70
C5AR1,434,1214,2,79,13,0,512,9,5,439,83,88
C5AR2,16,22,2,3,0,0,26,3,0,14,3,0
C5orf15,839,664,1359,790,1371,521,602,770,760,1302,1349,1379
C5orf17,4,18,2,2,0,0,1,6,3,0,0,0
C5orf22,748,611,616,576,817,440,551,878,684,1266,1598,1798
C5orf24,1451,922,2410,867,1865,1098,979,1339,936,1809,2368,2041
C5orf28,292,249,402,240,350,172,197,271,208,299,296,283
C5orf30,122,88,174,99,153,98,113,71,73,448,466,547
C5orf34,75,72,98,40,79,29,94,94,105,339,368,419
C5orf38,0,0,0,0,0,0,0,0,0,0,0,0
C5orf42,1003,981,1246,682,1202,697,1078,1605,950,215,141,67
C5orf45,671,290,342,288,359,296,318,421,262,229,139,205
C5orf46,0,0,0,0,0,0,0,0,0,0,0,0
C5orf47,4,1,2,0,0,0,0,7,0,1,5,5
C5orf49,1,0,0,0,9,0,0,0,0,1,0,0
C5orf51,1275,1159,1774,673,1607,678,948,922,758,1689,1710,1784
C5orf52,0,0,0,0,0,0,0,0,0,0,0,0
C5orf56,631,283,394,321,212,292,527,517,402,85,51,38
C5orf58,7,4,9,6,9,0,2,3,4,6,12,9
C5orf60,0,0,0,0,0,0,0,0,0,0,0,0
C5orf63,346,359,415,348,373,335,215,247,213,168,145,122
C5orf64,0,0,1,0,0,0,0,0,0,0,1,0
C5orf66,5,2,10,7,0,2,2,8,7,21,24,33
C5orf66-AS1,0,0,0,0,0,0,0,0,0,0,0,0
C5orf66-AS2,0,0,0,0,0,0,0,0,0,1,0,0
C5orf67,0,0,0,0,0,0,0,0,0,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,0
C6orf1,401,203,216,245,138,183,272,312,294,253,200,380
C6orf10,0,0,0,0,0,0,0,0,0,0,0,0
C6orf106,5714,3241,3809,3714,4040,2976,3944,4868,4059,3521,4016,6016
C6orf118,0,0,0,0,0,0,0,0,0,0,0,0
C6orf120,935,829,1181,809,1038,601,714,779,655,1200,1793,1977
C6orf132,2,3,1,5,10,1,8,15,8,22,19,20
C6orf136,0,0,0,0,0,0,0,0,0,0,0,0
C6orf141,0,0,0,0,0,0,0,0,0,1,0,0
C6orf15,0,0,0,0,0,0,0,0,0,0,0,0
C6orf163,64,26,45,20,76,60,22,37,29,29,30,46
C6orf165,3,1,0,0,16,0,6,4,4,12,4,8
C6orf201,1,2,1,0,0,0,3,1,1,1,4,2
C6orf203,303,213,275,213,229,94,151,233,169,166,205,241
C6orf222,0,0,0,0,0,0,0,5,1,0,0,0
C6orf223,3,0,2,3,0,0,126,7,4,3,4,0
C6orf226,74,43,59,57,57,0,62,154,72,13,7,9
C6orf229,29,18,19,15,18,28,10,11,8,4,0,3
C6orf25,0,0,1,0,0,0,0,2,0,0,0,0
C6orf47,2,1,0,0,0,0,1,0,0,0,0,0
C6orf48,0,0,1,0,0,0,0,0,0,0,0,0
C6orf52,8,5,9,4,0,0,8,3,3,29,31,52
C6orf58,1,0,0,0,0,0,0,0,0,0,0,2
C6orf62,7530,5636,9167,4402,9179,5268,4530,5504,3744,4577,6146,6246
C6orf7,0,0,0,0,0,0,0,0,0,0,0,0
C6orf89,4829,2587,4023,3318,3396,2525,2314,3302,3028,3324,4870,6615
C6orf99,2,0,0,1,0,0,6,0,0,5,7,14
C7,0,0,1,1,0,0,0,0,0,0,0,0
C7orf13,39,33,13,19,18,37,29,5,8,383,538,740
C7orf25,225,193,189,128,161,163,136,186,120,186,163,158
C7orf26,1258,694,1060,855,1078,948,723,1395,1097,516,884,1599
C7orf31,325,248,234,159,243,166,210,293,214,173,322,347
C7orf33,0,0,0,0,0,0,0,0,0,19,51,56
C7orf34,0,0,0,0,0,0,0,0,0,0,0,0
C7orf43,684,473,476,570,535,231,532,579,562,613,951,1650
C7orf49,741,545,663,667,769,556,567,374,490,854,1108,1624
C7orf50,660,216,380,384,256,232,185,256,249,319,651,1004
C7orf55,26,11,17,11,34,14,12,14,6,19,31,32
C7orf55-LUC7L2,0,0,0,0,0,0,0,0,0,0,0,0
C7orf57,20,12,73,28,79,67,7,16,36,4,6,6
C7orf60,1272,576,375,751,332,98,532,539,202,315,198,208
C7orf61,23,12,52,12,73,20,22,13,13,20,33,50
C7orf62,0,0,0,0,0,0,0,0,0,0,0,0
C7orf65,0,0,0,0,0,0,0,0,0,0,0,0
C7orf66,0,0,0,0,0,0,0,0,0,0,0,0
C7orf69,0,0,0,0,0,0,0,0,0,0,0,0
C7orf71,0,3,0,0,0,0,0,2,0,38,170,236
C7orf72,0,0,0,0,0,0,0,0,0,0,0,0
C7orf73,956,799,799,732,909,519,687,695,412,2079,3080,3347
C7orf76,0,0,1,0,0,0,0,0,0,0,0,0
C7orf77,0,0,0,0,0,0,0,0,0,0,0,0
C8A,1,0,0,0,0,0,0,0,0,0,0,0
C8B,1,0,0,0,1,0,1,0,0,5,0,0
C8G,46,13,16,10,22,16,16,11,17,16,17,20
C8orf22,0,0,0,0,0,0,0,1,0,27,42,54
C8orf31,7,1,6,2,0,0,3,1,0,0,0,0
C8orf33,695,488,706,667,746,381,509,913,736,1162,1727,2618
C8orf34,0,0,0,0,0,0,0,0,0,1,0,0
C8orf34-AS1,0,0,0,0,0,0,0,0,0,0,0,0
C8orf37,109,88,119,49,68,77,75,67,62,59,68,60
C8orf37-AS1,5,1,0,1,0,0,0,0,0,0,0,5
C8orf4,0,0,0,1,5,0,0,0,0,0,0,1
C8orf44,151,128,123,70,110,74,69,54,56,72,49,63
C8orf44-SGK3,1,2,2,1,0,0,0,1,0,1,1,0
C8orf46,200,38,67,112,150,47,125,208,79,24,8,5
C8orf48,0,0,0,1,0,0,0,0,0,1,0,0
C8orf49,0,0,0,0,0,0,0,0,0,0,0,0
C8orf58,302,131,202,201,204,72,123,256,181,127,172,273
C8orf59,842,520,867,613,936,447,634,873,466,1030,1563,1625
C8orf74,1,0,0,0,0,0,0,0,0,0,0,1
C8orf76,112,58,85,85,91,0,58,87,97,82,190,223
C8orf82,224,160,129,180,193,175,101,149,88,161,278,554
C8orf86,0,0,0,0,0,0,0,0,0,0,0,0
C8orf87,0,0,0,0,0,0,0,1,0,0,0,0
C8orf88,3,4,1,8,9,0,4,12,1,453,863,860
C8orf89,1,0,0,0,0,0,0,1,0,2,1,12
C9,3,3,2,2,0,0,0,1,3,4,0,3
C9orf106,2,0,0,0,0,0,1,0,0,0,0,0
C9orf114,1622,825,1053,1136,959,614,883,1175,1030,768,1099,1916
C9orf116,9,1,19,3,5,0,1,11,10,35,45,73
C9orf117,3,0,0,0,0,0,0,0,1,2,1,0
C9orf129,0,0,0,1,1,0,0,0,0,1,0,0
C9orf131,2,0,0,0,0,0,1,3,1,0,0,0
C9orf135,2,0,0,0,0,0,0,0,0,9,1,0
C9orf135-AS1,0,0,0,0,0,0,0,0,0,0,0,0
C9orf139,695,197,297,88,116,167,151,27,36,36,5,4
C9orf142,1457,635,965,811,901,705,830,858,808,495,848,1366
C9orf152,2,1,1,0,0,0,0,0,2,9,9,11
C9orf153,10,1,10,6,10,0,4,10,3,2,5,6
C9orf156,563,329,670,292,506,384,257,823,675,202,347,507
C9orf16,528,326,402,395,384,358,380,548,491,829,1509,3353
C9orf163,7,8,8,3,16,0,1,7,1,4,2,15
C9orf170,1,0,0,0,0,0,0,0,0,1,1,1
C9orf171,0,0,0,0,0,0,1,0,0,2,0,0
C9orf172,649,116,360,249,155,283,331,220,237,114,91,224
C9orf173,3,0,0,0,0,0,1,1,0,0,1,1
C9orf173-AS1,37,24,22,11,5,14,11,41,13,32,15,14
C9orf24,8,3,10,2,2,0,2,9,4,2,6,3
C9orf3,171,86,174,107,71,109,117,134,148,76,65,98
C9orf40,111,98,133,131,160,96,204,101,55,402,537,563
C9orf41-AS1,3,4,3,5,3,0,3,1,2,0,0,6
C9orf43,9,2,18,4,8,0,5,7,4,7,9,13
C9orf47,0,0,2,0,0,0,0,0,1,3,2,1
C9orf50,0,0,0,0,0,0,1,0,0,0,0,1
C9orf57,0,0,0,0,0,0,0,0,0,0,0,0
C9orf62,0,0,0,0,0,0,0,0,0,0,0,0
C9orf64,229,263,262,271,279,367,189,115,131,550,695,964
C9orf66,34,14,44,39,47,24,18,21,14,28,46,50
C9orf69,1264,693,1185,983,955,835,613,514,544,518,680,1315
C9orf72,592,416,344,227,271,123,433,784,319,260,205,143
C9orf78,3096,2023,4596,2085,3694,2228,2024,2858,2352,3197,4385,5497
C9orf84,1,1,1,0,0,0,0,0,0,0,0,0
C9orf85,173,141,195,149,98,60,115,154,98,106,273,303
C9orf89,573,225,889,208,406,371,346,343,316,147,175,224
C9orf9,25,16,11,9,15,0,13,17,11,12,27,53
C9orf91,410,376,425,416,537,243,257,629,527,503,659,886
C9orf92,0,0,0,0,0,0,0,1,0,1,0,0
CA1,0,0,0,0,0,0,0,0,0,47,31,40
CA10,0,0,0,0,0,0,0,0,0,0,1,0
CA11,502,179,241,207,318,149,460,218,141,318,279,457
CA12,26,27,0,1,0,0,5,1,1,22,38,65
CA13,160,128,94,56,151,83,67,89,53,268,244,253
CA14,1,0,0,0,0,0,0,0,1,3,4,3
CA2,27,64,14,9,12,0,42,15,6,33,11,21
CA3,25,26,8,5,13,0,9,15,13,9,13,18
CA3-AS1,0,1,1,2,0,0,0,0,0,1,0,0
CA4,0,0,0,0,0,0,0,0,0,1,1,0
CA5A,0,0,1,0,5,0,0,1,0,0,1,3
CA5B,1890,1008,1866,1304,1548,1179,708,674,744,207,131,172
CA5BP1,138,74,149,118,200,413,81,148,162,189,236,347
CA6,0,0,0,3,1,0,0,0,0,1,0,0
CA7,0,0,0,1,1,0,0,0,0,0,0,3
CA8,22,0,3,1,0,0,111,10,1,936,903,1320
CA9,0,1,0,0,2,0,6,0,1,191,34,34
CAAP1,358,295,431,345,595,299,235,360,258,237,257,263
CAB39,4338,3749,5029,3636,5336,3408,4139,3039,2188,2844,3293,3187
CAB39L,347,161,266,221,176,181,244,168,155,97,65,53
CABIN1,3902,2269,4562,3020,3836,3878,1938,2806,2440,1272,1475,2313
CABLES1,244,278,455,160,341,160,151,200,181,53,13,5
CABLES2,549,276,589,514,503,455,322,645,550,219,484,848
CABP1,0,0,0,1,0,0,2,1,0,1,0,1
CABP2,0,0,0,0,0,0,0,0,0,0,0,0
CABP4,72,22,121,23,46,9,102,346,224,48,40,22
CABP5,0,0,0,0,0,0,0,1,1,0,0,2
CABP7,5,1,5,2,0,0,3,17,13,1,5,4
CABS1,0,0,0,0,0,0,0,0,0,0,0,1
CABYR,33,12,34,13,52,119,9,15,10,1,1,1
CACFD1,84,90,111,67,62,82,58,113,98,13,38,55
CACHD1,5,0,1,1,0,10,22,2,0,5,0,0
CACNA1A,43,28,11,40,20,9,123,31,7,11,2,2
CACNA1B,1,0,1,1,0,14,0,1,3,2,2,6
CACNA1C,5,3,2,1,0,0,4,5,1,3,1,2
CACNA1C-AS1,87,114,43,17,31,12,28,48,17,7,2,5
CACNA1C-AS2,44,52,22,11,18,0,18,40,16,4,4,3
CACNA1C-AS4,0,1,0,0,0,0,0,0,0,0,0,0
CACNA1C-IT2,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1C-IT3,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1D,7,4,0,1,3,1,8,1,0,6,1,0
CACNA1E,4,2,0,0,0,0,1,0,0,0,1,1
CACNA1F,51,15,67,24,23,17,41,24,25,20,17,37
CACNA1G,6,1,0,0,6,0,1,0,0,1,3,0
CACNA1G-AS1,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1H,69,14,75,47,43,14,41,35,46,13,15,8
CACNA1I,140,21,24,6,7,1,39,8,10,50,99,128
CACNA1S,0,0,0,0,0,0,0,0,0,0,0,0
CACNA2D1,0,0,3,0,0,0,1,1,0,0,1,0
CACNA2D2,3702,998,1821,1492,844,929,557,493,597,150,42,66
CACNA2D3,1,0,0,0,0,0,0,0,0,0,0,3
CACNA2D3-AS1,0,0,0,0,0,0,0,0,0,0,0,0
CACNA2D4,409,195,204,279,167,83,149,166,83,44,45,56
CACNB1,715,298,378,462,373,339,495,415,332,226,155,311
CACNB2,1,0,1,0,0,15,0,2,1,5,1,3
CACNB3,181,33,52,136,73,187,118,61,66,55,44,64
CACNB4,25,20,26,19,19,0,16,11,11,5,1,5
CACNG1,0,0,0,0,1,0,0,1,0,0,0,0
CACNG2,2,0,1,0,0,0,0,2,0,1,0,1
CACNG3,0,0,0,2,0,0,0,0,0,2,0,1
CACNG4,1,0,0,0,0,0,1,0,0,0,0,0
CACNG5,0,0,0,0,0,0,0,0,0,0,0,0
CACNG6,16,0,0,0,0,0,17,1,1,10,0,0
CACNG7,0,0,0,0,0,0,0,0,0,0,0,0
CACNG8,22,1,8,2,4,0,51,0,0,34,2,3
CACTIN,1467,694,1195,948,1183,1020,644,1342,1393,633,1208,2053
CACTIN-AS1,16,11,22,12,12,9,6,11,23,12,23,42
CACUL1,1745,1439,2112,1228,2655,1681,1245,2075,1357,1028,1053,1088
CACYBP,902,728,1662,922,1566,996,1042,1279,728,2503,4619,5699
CAD,1281,876,1019,1465,1112,990,1143,1230,770,2809,3703,6080
CADM1,644,101,71,516,84,61,482,72,54,98,4,3
CADM2,0,6,13,0,0,0,1,2,4,22,20,30
CADM2-AS2,0,0,0,0,0,0,0,0,0,0,0,0
CADM3,0,0,0,0,0,0,0,0,0,1,0,0
CADM3-AS1,0,0,0,0,0,0,0,0,0,0,0,0
CADM4,10,6,3,6,4,0,16,7,2,26,74,57
CADPS,0,0,0,0,0,0,0,0,1,1,0,0
CADPS2,0,0,0,0,0,0,1,1,0,0,5,6
CAGE1,0,1,0,0,0,0,1,6,5,3,4,15
CAHM,20,7,13,8,5,0,20,9,7,31,29,41
CALB1,1,2,0,0,0,0,2,13,0,1519,1392,1454
CALB2,0,0,0,0,0,0,0,0,0,0,1,3
CALCA,0,0,0,0,0,0,0,0,0,0,8,3
CALCB,1,1,0,0,0,0,3,6,1,0,0,0
CALCOCO1,8367,4600,6232,2441,3982,2703,3785,5274,3558,1131,717,829
CALCOCO2,3190,1992,2339,2533,2323,1669,2357,2698,1961,2238,3146,3855
CALCR,0,0,0,0,0,0,0,0,0,1,2,1
CALCRL,14,41,18,9,6,54,16,10,15,10,1,4
CALD1,0,2,0,2,0,0,1,3,0,0,0,0
CALHM1,30,6,11,6,12,0,2,0,0,1,0,0
CALHM2,2037,923,1676,934,720,865,722,325,384,124,26,46
CALHM3,0,0,0,0,0,0,0,0,0,0,0,0
CALM1,16483,10312,14873,15187,13192,9429,7290,6995,6012,3656,6121,7680
CALM2,4129,3815,4480,3357,4610,2207,2511,2832,2009,5374,8579,9157
CALM3,5048,2698,3222,4210,3645,2242,3382,3050,2402,4717,6992,11200
CALML3,0,0,0,0,0,0,0,0,0,0,0,0
CALML3-AS1,0,0,0,0,0,0,0,0,0,0,0,0
CALML4,170,92,152,177,186,154,102,121,79,397,676,978
CALML5,0,0,0,0,0,0,0,0,0,0,0,0
CALML6,20,14,17,3,9,13,21,29,19,4,5,3
CALN1,0,1,2,2,0,13,6,1,0,5,41,38
CALR,10674,11181,11925,22456,18790,12612,8460,13979,10034,18914,29100,44322
CALR3,3,1,1,3,0,0,0,0,2,1,2,0
CALU,1711,2208,2315,2353,3126,2163,1149,3723,2134,10655,16934,20296
CALY,3,0,0,0,0,0,0,0,0,2,0,1
CAMK1,104,85,53,273,215,114,63,45,28,116,131,169
CAMK1D,3235,2064,2567,2073,2184,1756,1801,1890,1506,399,143,133
CAMK1G,12,15,0,1,0,0,3,0,0,1,0,0
CAMK2A,0,0,1,0,1,0,0,0,1,1,0,5
CAMK2B,2,2,1,0,0,0,5,1,3,3,3,12
CAMK2D,1970,1004,955,1193,979,501,1254,1125,828,291,114,67
CAMK2G,2474,1225,1692,1216,1255,1010,1309,1738,1400,1012,1370,1814
CAMK2N1,157,17,102,83,105,51,142,146,81,96,91,89
CAMK2N2,11,3,6,2,0,0,6,3,5,9,12,5
CAMK4,205,65,37,56,26,1,111,19,21,31,1,2
CAMKK1,153,79,206,95,136,134,36,49,69,176,208,324
CAMKK2,1368,795,906,1065,979,688,792,716,826,926,1161,1542
CAMKMT,93,50,85,89,53,43,80,90,75,46,69,68
CAMKV,0,0,1,0,6,0,10,0,0,14,6,15
CAMLG,853,540,957,512,1094,438,639,1093,644,649,1170,1381
CAMP,2,5,2,0,0,0,0,0,0,0,0,4
CAMSAP1,1454,866,1448,1106,1515,1499,900,1455,1026,1467,1493,1925
CAMSAP2,60,158,41,19,31,0,35,4,3,431,276,358
CAMSAP3,5,4,17,7,28,44,24,41,13,18,51,95
CAMTA1,279,161,295,220,283,125,214,359,238,436,463,650
CAMTA2,2423,1156,1618,1686,1221,1669,1580,1737,1529,1038,860,1316
CAND1,3271,2341,4235,2959,5569,3279,2950,3914,2997,3845,4547,5344
CAND1.11,7,1,1,2,13,0,0,0,0,1,0,0
CAND2,10,8,56,1,30,34,5,25,36,222,364,616
CANT1,1782,986,1764,1360,1642,1709,651,1805,1418,1101,1727,2731
CANX,17404,16584,29249,15688,28557,19802,9095,21174,14643,25919,40001,45748
CAP1,14126,9287,10444,16249,10875,7448,8705,6858,6000,9473,12787,18109
CAP2,2,0,0,0,0,0,1,0,0,0,0,1
CAPG,835,3138,224,350,393,371,953,161,167,641,981,1716
CAPN1,3826,2354,2244,2998,2306,1729,1974,2270,1804,2047,3478,5795
CAPN10,973,488,706,639,610,728,726,935,855,287,237,434
CAPN10-AS1,189,101,249,75,208,117,82,263,167,122,132,238
CAPN11,0,1,0,1,0,0,0,0,0,6,18,25
CAPN12,721,824,208,332,243,191,266,225,197,179,103,169
CAPN13,0,0,0,0,0,0,0,0,0,0,0,0
CAPN14,7,8,6,9,7,0,6,9,9,1,0,3
CAPN15,5949,2228,4519,3269,2871,4028,2350,2619,2422,1212,1395,2458
CAPN2,11646,4287,6600,7878,4737,4099,5700,3495,3477,4796,5238,7586
CAPN3,544,259,318,202,343,155,244,361,262,60,42,26
CAPN5,149,160,271,173,137,150,43,135,242,45,77,75
CAPN6,0,0,0,0,0,0,1,4,0,0,2,1
CAPN7,2143,1657,2805,1107,2489,1181,1561,2771,1732,1857,1866,2076
CAPN8,9,11,3,2,3,0,9,2,2,1,0,2
CAPN9,1,0,0,0,0,0,0,0,0,0,0,0
CAPNS1,5226,3175,2914,4498,2980,2501,3098,2570,2186,3069,3907,6632
CAPNS2,0,0,1,0,0,0,0,0,0,0,1,3
CAPRIN1,4681,3419,5322,4614,6134,4095,4511,3783,2893,9280,10638,13142
CAPRIN2,3107,1573,3000,1452,2053,1751,1420,1918,1298,622,586,542
CAPS,988,484,597,329,261,655,334,576,571,94,143,203
CAPS2,100,68,100,49,78,94,57,66,27,13,12,3
CAPSL,0,0,0,0,0,0,0,0,0,0,0,0
CAPZA1,5737,4201,6996,5585,7689,2820,5368,4906,3974,8526,11326,11600
CAPZA2,1529,1635,1866,1419,2191,956,1060,1456,1002,2518,3167,3729
CAPZA3,0,0,0,0,0,0,0,0,0,0,0,0
CAPZB,5906,3755,3754,6534,4800,3374,4118,3796,2941,3261,4282,6405
CARD10,35,36,17,11,46,13,7,8,11,91,129,238
CARD11,10683,4520,7996,9736,10323,8302,5637,8452,6628,1414,1156,1284
CARD14,22,21,8,3,2,0,6,10,7,3,2,2
CARD16,565,353,517,454,341,326,618,629,425,107,39,35
CARD17,1,0,0,0,0,0,0,0,0,0,0,0
CARD18,0,0,0,0,0,0,0,0,0,1,8,5
CARD6,174,537,265,153,369,312,76,137,180,330,376,478
CARD8,6578,4972,5519,3684,4644,2606,3886,4449,2571,1241,677,576
CARD8-AS1,276,474,945,160,598,418,190,447,437,337,610,784
CARD9,46,70,10,61,35,23,12,16,3,268,599,908
CARF,990,623,771,335,486,351,596,517,285,206,104,105
CARHSP1,1204,1435,1897,733,1150,853,546,1025,721,951,2073,3058
CARKD,840,456,584,595,591,410,686,638,508,580,724,971
CARM1,797,413,701,740,498,562,595,726,656,1376,2166,3752
CARNMT1,516,361,696,444,745,301,287,336,268,386,421,365
CARNS1,1832,180,389,826,224,319,742,90,116,129,13,23
CARS,63,28,61,57,114,34,41,67,37,69,99,98
CARS2,1088,667,1073,878,947,839,561,883,717,349,529,746
CARTPT,0,0,0,0,0,0,0,0,0,0,0,0
CASC1,10,0,0,0,0,0,3,0,0,1,1,3
CASC10,0,0,0,0,0,0,0,0,0,14,28,41
CASC11,0,2,0,1,1,0,0,0,0,1,1,4
CASC15,0,0,0,0,0,0,6,0,1,1,2,1
CASC16,0,0,0,0,0,0,0,0,0,0,0,0
CASC17,0,0,0,0,0,0,0,0,0,0,0,0
CASC18,7,0,4,1,0,10,5,1,0,1,0,0
CASC19,0,0,0,0,0,0,0,0,0,0,0,0
CASC2,1,1,1,0,0,0,2,3,1,2,6,3
CASC20,0,0,0,0,0,0,0,0,0,0,1,0
